"conference","gamedate","hometeam","awayteam","regulationresult","homescore_reg","awayscore_reg","wrapupresult","homescore_wu","awayscore_wu","outs_wu","simnumber"
"Founders","2010-04-03","Pittsburgh","Washington, D.C.","Tie in regulation",7,7,"Washington, D.C.",7,10,24,330
"Founders","2010-04-03","Winnipeg","St. Louis","Tie in regulation",2,2,"Winnipeg",3,2,9,330
"Founders","2010-04-08","St. Louis","Chicago","Tie in regulation",4,4,"Chicago",4,5,15,330
"Founders","2010-04-08","Toronto","Philadelphia","Tie in regulation",5,5,"Toronto",6,5,18,330
"Founders","2010-04-10","Toronto","Philadelphia","Tie in regulation",4,4,"Philadelphia",4,5,3,330
"Founders","2010-04-10","Washington, D.C.","Pittsburgh","Tie in regulation",5,5,"Pittsburgh",7,9,5,330
"Founders","2010-04-14","Winnipeg","Chicago","Tie in regulation",5,5,"Winnipeg",7,6,6,330
"Founders","2010-04-17","St. Paul","Winnipeg","Tie in regulation",1,1,"St. Paul",3,2,6,330
"Founders","2010-04-19","Chicago","St. Louis","Tie in regulation",4,4,"Chicago",5,4,10,330
"Founders","2010-04-19","St. Paul","Winnipeg","Tie in regulation",4,4,"St. Paul",6,5,10,330
"Founders","2010-04-24","St. Paul","Pittsburgh","Tie in regulation",5,5,"St. Paul",7,6,6,330
"Founders","2010-04-26","St. Louis","Toronto","Tie in regulation",5,5,"St. Louis",8,6,6,330
"Founders","2010-04-28","Pittsburgh","St. Louis","Tie in regulation",5,5,"St. Louis",5,6,21,330
"Founders","2010-04-30","Philadelphia","St. Paul","Tie in regulation",5,5,"Philadelphia",6,5,6,330
"Founders","2010-05-03","Toronto","Winnipeg","Tie in regulation",4,4,"Toronto",7,6,40,330
